,FoldX,RosettaTalarisInterfacedGcross,RosettaTalarisInterfacedGseparated,RosettaTalarisPose,RosettabetaInterfacedGcross,RosettabetaInterfacedGseparated,RosettabetaPose,dTERMenC34,dTERMenC35
B2CL1_HUMAN_1G5J_A,0.783429137579,0.56188790675,0.562042000155,0.600842719714,0.654383551313,0.654564090141,0.579806160716,0.735216164512,0.836614191204
B2CL1_HUMAN_2M04_A,0.704833510636,0.612280445433,0.622597284303,0.527341306621,0.677295653108,0.677295653108,0.535104678719,0.665950607927,0.730846760386
B2CL1_HUMAN_2P1L_A,0.638454637184,0.546731964223,0.546966528629,0.518777137561,0.623009685638,0.623009685638,0.555410028436,0.737323249156,0.731882039786
B2CL1_HUMAN_2P1L_C,0.795403336636,0.515701547326,0.531747236592,0.625315035407,0.624808399755,0.624808399755,0.59576980975,0.803751204211,0.771538833821
B2CL1_HUMAN_2P1L_E,0.757407897801,0.565097615319,0.571074727312,0.605881574081,0.624588609808,0.624588609808,0.574385536948,0.755913762482,0.757609931377
B2CL1_HUMAN_2P1L_G,0.65294740735,0.51086244367,0.516840697096,0.579133812431,0.720273095743,0.720273095743,0.610325607976,0.740963277829,0.762787469809
B2CL1_HUMAN_2PON_B,0.393404459806,0.710407696909,0.710879679303,0.671109312721,0.738614507881,0.738607622536,0.597266976966,0.800006163736,0.798972025769
B2CL1_HUMAN_3FDL_A,0.704370659702,0.613884729001,0.608398433041,0.632063185145,0.710302726746,0.710669762248,0.661443351316,0.772030791287,0.717816165426
B2CL1_HUMAN_3IO8_A,0.749474370272,0.687508275387,0.678887034695,0.596580610256,0.777693432299,0.777693432299,0.637720675315,0.817471224483,0.821914821731
B2CL1_HUMAN_3PL7_A,0.645044127786,0.645567474649,0.636440008584,0.526214141894,0.714588266818,0.714588266818,0.523029736031,0.765089739434,0.806289750392
B2CL1_HUMAN_4CIN_A,0.521826474845,0.627990553504,0.635385895545,0.623504723248,0.726863051112,0.726863051112,0.542509352551,0.698503125243,0.616542554891
B2CL1_HUMAN_4HNJ_A,0.816441652247,0.745960469905,0.741770270702,0.726590928807,0.788850382135,0.788851529687,0.646556195635,0.801862133201,0.851443683997
B2CL1_HUMAN_4QVE_A,0.792748364327,0.618040685225,0.610821694525,0.576470850093,0.632309185737,0.632309185737,0.538178361364,0.800280107569,0.764682247983
B2CL1_HUMAN_4QVF_A,0.673249498911,0.547746697835,0.541352392215,0.514417435612,0.646421872531,0.646421872531,0.564689594837,0.726160037987,0.655254242705
B2CL1_HUMAN_5FMK_A,0.626738401903,0.667213603138,0.666488222698,0.634534957516,0.662133487985,0.662133487985,0.644242130994,0.730063737598,0.683594873598
