,FoldX,RosettaTalarisInterfacedGcross,RosettaTalarisInterfacedGseparated,RosettaTalarisPose,RosettabetaInterfacedGcross,RosettabetaInterfacedGseparated,RosettabetaPose,dTERMenC34,dTERMenC35
B2CL1_HUMAN_1G5J_A,0.309767469997,0.111334266241,0.110729795446,0.137278052781,0.185911136785,0.186141160568,0.111193201332,0.284156442463,0.416036634829
B2CL1_HUMAN_2M04_A,0.208246386539,0.132011932895,0.145351077751,0.038982029403,0.181817830639,0.181821518393,0.0639929929378,0.224690953728,0.333963212915
B2CL1_HUMAN_2P1L_A,0.188480676597,0.133769112838,0.135939147142,0.0926809976926,0.192814242041,0.192814242041,0.125505985586,0.326670152521,0.343729404075
B2CL1_HUMAN_2P1L_C,0.272213146256,0.113482330939,0.135050622736,0.219849719037,0.181266765533,0.181266765533,0.156824481262,0.388518990276,0.372012235596
B2CL1_HUMAN_2P1L_E,0.261402984857,0.160141552545,0.168652424145,0.162435243795,0.191159044759,0.191159044759,0.143717346787,0.346364368837,0.349913839243
B2CL1_HUMAN_2P1L_G,0.183326970596,0.107767397956,0.117376451669,0.16030943725,0.263956770236,0.263956770236,0.16604087934,0.333002656807,0.365426518396
B2CL1_HUMAN_2PON_B,-0.0685022813377,0.30132005466,0.303440611545,0.224051492467,0.271300847195,0.271352415165,0.128096682755,0.381894234833,0.396900740148
B2CL1_HUMAN_3FDL_A,0.303489087475,0.224591718235,0.220183409043,0.236616214922,0.293913083147,0.294493696901,0.267796496126,0.38104672448,0.317452129077
B2CL1_HUMAN_3IO8_A,0.340584995267,0.288532470644,0.282707848231,0.170788287763,0.342360412421,0.342360412421,0.189142930053,0.423667910061,0.44862931418
B2CL1_HUMAN_3PL7_A,0.228311353513,0.220154785748,0.211518246301,0.10971862698,0.25378774374,0.25378774374,0.0739171876515,0.36568789547,0.410206259297
B2CL1_HUMAN_4CIN_A,0.0798477557362,0.189618460998,0.198463078128,0.177098051007,0.240665234671,0.240665234671,0.0733175281297,0.275623714677,0.203507438896
B2CL1_HUMAN_4HNJ_A,0.302745615002,0.336122023876,0.333323715046,0.291200716908,0.350609091975,0.350615929438,0.21678739106,0.38061971775,0.450784805873
B2CL1_HUMAN_4QVE_A,0.369891183887,0.194675929073,0.186690866061,0.132075479708,0.178953602625,0.178953602625,0.0604624318029,0.393114703008,0.352210692085
B2CL1_HUMAN_4QVF_A,0.243575959692,0.134410193424,0.130094364387,0.0974889200086,0.216915402715,0.216915402715,0.118444194313,0.31890991419,0.253968151203
B2CL1_HUMAN_5FMK_A,0.159053350188,0.254483618105,0.249977376074,0.213523256714,0.222895844086,0.222895844086,0.192678849137,0.313446852769,0.282952963865
B2CL1_HUMAN_MIN,0.389960795562,0.232467751801,0.230514658321,0.148080718793,0.250287061206,0.250291157956,0.160988493788,0.391478315028,0.384428249586
B2LA1_HUMAN_2VM6_A,0.459583913599,0.291154233719,0.284658694498,0.248534312547,0.312467182444,0.312467182444,0.233332483546,0.30031796043,0.321094121392
B2LA1_HUMAN_3MQP_A,0.338512050334,0.272997679387,0.275055536342,0.220933403258,0.26714818338,0.26714818338,0.208469235626,0.301422452286,0.379311483355
B2LA1_HUMAN_4ZEQ_A,0.324055641426,0.320606051614,0.317862662825,0.261711771464,0.343199047331,0.343199047331,0.228157419294,0.26863457202,0.319315684536
B2LA1_HUMAN_5UUK_A,0.252070902379,0.235329976658,0.228045365374,0.103514863513,0.31527461091,0.31527461091,0.155290539995,0.266624653761,0.343012376783
B2LA1_HUMAN_5UUL_A,0.273692898804,0.310673384189,0.306699270555,0.270121411898,0.314382424199,0.314382424199,0.222034160346,0.11035462662,0.236241349238
B2LA1_HUMAN_5UUP_A,0.381675665766,0.295850026954,0.296307767868,0.180217476002,0.341233217659,0.341667258274,0.180352733375,0.208340319737,0.298466802862
B2LA1_HUMAN_MIN,0.463292874689,0.29146873434,0.287047513829,0.262751413436,0.329572782651,0.329572782651,0.22017025274,0.256361138273,0.33160140066
MCL1_HUMAN_2KBW_A,0.311609534924,0.315055628932,0.331255906913,0.241335225164,0.391000689117,0.391000689117,0.279583577299,0.308264212299,0.375342551715
MCL1_HUMAN_2NL9_A,0.412372686293,0.442560864361,0.446134538041,0.363389609943,0.446134069082,0.446134069082,0.375670545185,0.548629556427,0.548743753173
